elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.177,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.259,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.346,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.431,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.516,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.601,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.686,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.772,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.858,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
0.942,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.028,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.029,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.029,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.029,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
